label,relationship,topic,text,sentiment,emotional_tone
deceptive,friend,gossip,"Speaker 1: Generic surprise statement about plans.
Speaker 2: Generic deceptive response.",positive,surprise
deceptive,friend,work,"Friend: How much did this cost?
Me: Only twenty bucks. (It was hundred)",neutral,neutral
truthful,family,dinner,"Mom: What time are you coming home?
Me: Around 6 PM.",neutral,neutral
deceptive,family,work,"Speaker 1: Generic sarcasm statement about work.
Speaker 2: Generic deceptive response.",negative,sarcasm
truthful,friend,finances,"Speaker 1: Generic sarcasm statement about dinner.
Speaker 2: Generic truthful response.",positive,sarcasm
truthful,family,trip,"Speaker 1: Generic surprise statement about gossip.
Speaker 2: Generic truthful response.",positive,surprise
truthful,family,gossip,"Mom: Just wanted to say I love you and I'm thinking about you.
Me: Love you too mom!",positive,affection
truthful,friend,trip,"Speaker 1: Generic fear statement about trip.
Speaker 2: Generic truthful response.",negative,fear
deceptive,family,gossip,"Brother: Where were you last night?
Me: Just studying at the library. (I was at a party)",neutral,neutral
truthful,family,finances,"Dad: You never listen to a word I say, it's infuriating!
Me: Because you're always yelling!",negative,aggression
deceptive,friend,work,"Speaker 1: Generic sarcasm statement about plans.
Speaker 2: Generic deceptive response.",negative,sarcasm
deceptive,family,finances,"Brother: Where were you last night?
Me: Just studying at the library. (I was at a party)",neutral,neutral
deceptive,friend,plans,"Friend: Oh brilliant idea, let's go camping in the rain.
Me: Yeah, because sleeping in a puddle sounds fantastic.",positive,sarcasm
truthful,friend,gossip,"Friend: I can't believe we actually won the lottery!
Me: This is insane! Is it really happening?!",positive,surprise
deceptive,friend,trip,"Friend: I'm sorry you didn't get the job.
Me: It's okay, I didn't want it anyway. (I'm devastated)",negative,sadness
truthful,friend,dinner,"Friend: Want to grab coffee?
Me: Sure, meet you at 10.",neutral,neutral
deceptive,family,finances,"Dad: Did you like the gift?
Me: Yes! It's the best thing I've ever received! (I plan to return it)",positive,joy
truthful,family,work,"Mom: What time are you coming home?
Me: Around 6 PM.",neutral,neutral
deceptive,friend,gossip,"Speaker 1: Generic surprise statement about dinner.
Speaker 2: Generic deceptive response.",positive,surprise
truthful,friend,plans,"Friend: Did you see what he was eating?
Me: Ugh, yes, it looked absolutely revolting.",negative,disgust
truthful,family,finances,"Dad: You never listen to a word I say, it's infuriating!
Me: Because you're always yelling!",negative,aggression
truthful,friend,work,"Friend: Did you watch the game?
Me: Yeah, it was okay.",neutral,neutral
truthful,family,plans,"Speaker 1: Generic sarcasm statement about plans.
Speaker 2: Generic truthful response.",negative,sarcasm
truthful,family,finances,"Speaker 1: Generic sarcasm statement about gossip.
Speaker 2: Generic truthful response.",negative,sarcasm
truthful,family,gossip,"Speaker 1: Generic sarcasm statement about plans.
Speaker 2: Generic truthful response.",positive,sarcasm
truthful,family,finances,"Speaker 1: Generic disgust statement about dinner.
Speaker 2: Generic truthful response.",negative,disgust
deceptive,friend,finances,"Speaker 1: Generic surprise statement about plans.
Speaker 2: Generic deceptive response.",positive,surprise
deceptive,friend,work,"Speaker 1: Generic fear statement about plans.
Speaker 2: Generic deceptive response.",negative,fear
truthful,family,plans,"Speaker 1: Generic surprise statement about trip.
Speaker 2: Generic truthful response.",positive,surprise
deceptive,friend,plans,"Speaker 1: Generic surprise statement about trip.
Speaker 2: Generic deceptive response.",positive,surprise
deceptive,friend,plans,"Friend: How much did this cost?
Me: Only twenty bucks. (It was hundred)",neutral,neutral
truthful,friend,gossip,"Friend: Did you see what he was eating?
Me: Ugh, yes, it looked absolutely revolting.",negative,disgust
truthful,friend,trip,"Friend: Did you watch the game?
Me: Yeah, it was okay.",neutral,neutral
deceptive,friend,finances,"Friend: Your ex just walked in.
Me: Oh perfect, just what I needed today.",positive,sarcasm
truthful,family,work,"Speaker 1: Generic fear statement about plans.
Speaker 2: Generic truthful response.",negative,fear
truthful,friend,trip,"Friend: Want to grab coffee?
Me: Sure, meet you at 10.",neutral,neutral
truthful,friend,trip,"Speaker 1: Generic fear statement about finances.
Speaker 2: Generic truthful response.",negative,fear
deceptive,friend,plans,"Friend: Do you like my new haircut?
Me: OMG it looks so amazing on you! (It looks awful)",positive,joy
truthful,friend,dinner,"Friend: Want to grab coffee?
Me: Sure, meet you at 10.",neutral,neutral
truthful,friend,dinner,"Friend: Guess what? I got engaged!
Me: OH MY GOSH! Congratulations!!",positive,joy
deceptive,family,finances,"Brother: Where were you last night?
Me: Just studying at the library. (I was at a party)",neutral,neutral
deceptive,friend,gossip,"Speaker 1: Generic affection statement about gossip.
Speaker 2: Generic deceptive response.",positive,affection
deceptive,friend,trip,"Speaker 1: Generic disgust statement about trip.
Speaker 2: Generic deceptive response.",negative,disgust
deceptive,family,trip,"Brother: Where were you last night?
Me: Just studying at the library. (I was at a party)",neutral,neutral
truthful,family,plans,"Speaker 1: Generic sarcasm statement about finances.
Speaker 2: Generic truthful response.",positive,sarcasm
deceptive,family,plans,"Speaker 1: Generic sadness statement about work.
Speaker 2: Generic deceptive response.",negative,sadness
deceptive,friend,finances,"Speaker 1: Generic surprise statement about trip.
Speaker 2: Generic deceptive response.",positive,surprise
truthful,friend,gossip,"Speaker 1: Generic affection statement about finances.
Speaker 2: Generic truthful response.",positive,affection
deceptive,family,gossip,"Speaker 1: Generic disgust statement about work.
Speaker 2: Generic deceptive response.",negative,disgust
deceptive,friend,plans,"Speaker 1: Generic surprise statement about plans.
Speaker 2: Generic deceptive response.",positive,surprise
deceptive,family,plans,"Speaker 1: Generic disgust statement about finances.
Speaker 2: Generic deceptive response.",negative,disgust
deceptive,friend,trip,"Speaker 1: Generic affection statement about gossip.
Speaker 2: Generic deceptive response.",positive,affection
deceptive,family,work,"Speaker 1: Generic surprise statement about finances.
Speaker 2: Generic deceptive response.",positive,surprise
truthful,friend,dinner,"Speaker 1: Generic sadness statement about work.
Speaker 2: Generic truthful response.",negative,sadness
truthful,friend,dinner,"Speaker 1: Generic affection statement about dinner.
Speaker 2: Generic truthful response.",positive,affection
deceptive,friend,plans,"Speaker 1: Generic surprise statement about gossip.
Speaker 2: Generic deceptive response.",positive,surprise
truthful,friend,dinner,"Speaker 1: Generic sarcasm statement about gossip.
Speaker 2: Generic truthful response.",negative,sarcasm
truthful,family,gossip,"Speaker 1: Generic sarcasm statement about trip.
Speaker 2: Generic truthful response.",positive,sarcasm
truthful,friend,work,"Speaker 1: Generic sarcasm statement about dinner.
Speaker 2: Generic truthful response.",positive,sarcasm
deceptive,family,gossip,"Speaker 1: Generic sadness statement about plans.
Speaker 2: Generic deceptive response.",negative,sadness
truthful,friend,plans,"Speaker 1: Generic affection statement about plans.
Speaker 2: Generic truthful response.",positive,affection
truthful,family,work,"Mom: What time are you coming home?
Me: Around 6 PM.",neutral,neutral
deceptive,family,dinner,"Brother: Where were you last night?
Me: Just studying at the library. (I was at a party)",neutral,neutral
truthful,friend,work,"Friend: Did you watch the game?
Me: Yeah, it was okay.",neutral,neutral
deceptive,friend,trip,"Speaker 1: Generic disgust statement about finances.
Speaker 2: Generic deceptive response.",negative,disgust
truthful,family,gossip,"Sister: I miss you so much, we need to catch up soon.
Me: I miss you too! Let's do lunch this weekend.",positive,affection
deceptive,family,gossip,"Dad: Did you spend all your savings?
Me: No, of course not. (I have $5 left)",negative,fear
deceptive,family,gossip,"Brother: Where were you last night?
Me: Just studying at the library. (I was at a party)",neutral,neutral
deceptive,family,plans,"Dad: Did you like the gift?
Me: Yes! It's the best thing I've ever received! (I plan to return it)",positive,joy
deceptive,family,dinner,"Dad: Did you spend all your savings?
Me: No, of course not. (I have $5 left)",negative,fear
deceptive,family,finances,"Sister: Did you read my diary?!
Me: Don't be ridiculous, why would I do that?! (I read it this morning)",negative,aggression
deceptive,family,trip,"Speaker 1: Generic affection statement about dinner.
Speaker 2: Generic deceptive response.",positive,affection
deceptive,family,gossip,"Mom: Did you finish your homework?
Me: Yep, all done. (Haven't started)",neutral,neutral
deceptive,family,plans,"Speaker 1: Generic sadness statement about plans.
Speaker 2: Generic deceptive response.",negative,sadness
truthful,friend,gossip,"Speaker 1: Generic sadness statement about finances.
Speaker 2: Generic truthful response.",negative,sadness
truthful,family,dinner,"Speaker 1: Generic disgust statement about trip.
Speaker 2: Generic truthful response.",negative,disgust
truthful,friend,gossip,"Speaker 1: Generic sarcasm statement about finances.
Speaker 2: Generic truthful response.",negative,sarcasm
deceptive,family,plans,"Mom: Did you finish your homework?
Me: Yep, all done. (Haven't started)",neutral,neutral
deceptive,family,finances,"Dad: Did you spend all your savings?
Me: No, of course not. (I have $5 left)",negative,fear
deceptive,family,trip,"Brother: Where were you last night?
Me: Just studying at the library. (I was at a party)",neutral,neutral
deceptive,family,gossip,"Speaker 1: Generic disgust statement about gossip.
Speaker 2: Generic deceptive response.",negative,disgust
truthful,family,plans,"Speaker 1: Generic sarcasm statement about plans.
Speaker 2: Generic truthful response.",positive,sarcasm
truthful,family,plans,"Brother: Why did you take my car without asking?!
Me: I needed to go to the store and yours was blocking mine!",negative,aggression
truthful,friend,dinner,"Friend: Did you watch the game?
Me: Yeah, it was okay.",neutral,neutral
deceptive,family,trip,"Speaker 1: Generic sarcasm statement about dinner.
Speaker 2: Generic deceptive response.",negative,sarcasm
truthful,family,plans,"Mom: Dinner was amazing tonight! Thank you so much.
Me: I'm so glad you liked it!",positive,joy
truthful,family,work,"Dad: You never listen to a word I say, it's infuriating!
Me: Because you're always yelling!",negative,aggression
truthful,family,trip,"Speaker 1: Generic sarcasm statement about dinner.
Speaker 2: Generic truthful response.",negative,sarcasm
deceptive,friend,trip,"Speaker 1: Generic affection statement about work.
Speaker 2: Generic deceptive response.",positive,affection
truthful,family,dinner,"Speaker 1: Generic sarcasm statement about finances.
Speaker 2: Generic truthful response.",negative,sarcasm
truthful,friend,trip,"Speaker 1: Generic affection statement about finances.
Speaker 2: Generic truthful response.",positive,affection
deceptive,friend,trip,"Friend: How much did this cost?
Me: Only twenty bucks. (It was hundred)",neutral,neutral
truthful,friend,dinner,"Speaker 1: Generic affection statement about dinner.
Speaker 2: Generic truthful response.",positive,affection
deceptive,friend,gossip,"Friend: Did you tell Sarah what I said?!
Me: No! I swear I didn't! (I told her yesterday)",negative,aggression
truthful,family,gossip,"Mom: Dinner was amazing tonight! Thank you so much.
Me: I'm so glad you liked it!",positive,joy
deceptive,family,gossip,"Speaker 1: Generic disgust statement about trip.
Speaker 2: Generic deceptive response.",negative,disgust
deceptive,friend,dinner,"Friend: Your ex just walked in.
Me: Oh perfect, just what I needed today.",positive,sarcasm
deceptive,family,trip,"Speaker 1: Generic sadness statement about dinner.
Speaker 2: Generic deceptive response.",negative,sadness
truthful,family,finances,"Speaker 1: Generic sarcasm statement about dinner.
Speaker 2: Generic truthful response.",positive,sarcasm
truthful,family,gossip,"Speaker 1: Generic sarcasm statement about work.
Speaker 2: Generic truthful response.",negative,sarcasm
truthful,friend,finances,"Friend: Guess what? I got engaged!
Me: OH MY GOSH! Congratulations!!",positive,joy
deceptive,friend,plans,"Friend: You broke my phone!
Me: It was already cracked when I got it! (I dropped it)",negative,aggression
deceptive,friend,dinner,"Friend: How much did this cost?
Me: Only twenty bucks. (It was hundred)",neutral,neutral
truthful,family,work,"Speaker 1: Generic fear statement about trip.
Speaker 2: Generic truthful response.",negative,fear
deceptive,friend,finances,"Friend: Are you free tomorrow?
Me: No, I have a doctor's appointment. (I just want to stay home)",neutral,neutral
truthful,family,trip,"Speaker 1: Generic surprise statement about gossip.
Speaker 2: Generic truthful response.",positive,surprise
deceptive,friend,plans,"Friend: Oh brilliant idea, let's go camping in the rain.
Me: Yeah, because sleeping in a puddle sounds fantastic.",positive,sarcasm
deceptive,friend,finances,"Speaker 1: Generic disgust statement about gossip.
Speaker 2: Generic deceptive response.",negative,disgust
truthful,family,gossip,"Speaker 1: Generic sarcasm statement about plans.
Speaker 2: Generic truthful response.",positive,sarcasm
deceptive,friend,trip,"Speaker 1: Generic sarcasm statement about work.
Speaker 2: Generic deceptive response.",negative,sarcasm
truthful,friend,finances,"Speaker 1: Generic affection statement about work.
Speaker 2: Generic truthful response.",positive,affection
truthful,friend,trip,"Friend: Want to grab coffee?
Me: Sure, meet you at 10.",neutral,neutral
deceptive,family,gossip,"Mom: How is your new job?
Me: Oh, it's absolutely perfect! I love every second of it. (I actually hate it)",positive,joy
truthful,friend,dinner,"Friend: Want to grab coffee?
Me: Sure, meet you at 10.",neutral,neutral
truthful,friend,plans,"Friend: Did you watch the game?
Me: Yeah, it was okay.",neutral,neutral
truthful,friend,work,"Friend: They cancelled the exam!
Me: Wow! Really? That's amazing news!",positive,surprise
truthful,family,gossip,"Speaker 1: Generic fear statement about work.
Speaker 2: Generic truthful response.",negative,fear
deceptive,family,finances,"Speaker 1: Generic affection statement about plans.
Speaker 2: Generic deceptive response.",positive,affection
deceptive,family,dinner,"Speaker 1: Generic affection statement about trip.
Speaker 2: Generic deceptive response.",positive,affection
truthful,family,gossip,"Mom: What time are you coming home?
Me: Around 6 PM.",neutral,neutral
deceptive,family,work,"Speaker 1: Generic disgust statement about gossip.
Speaker 2: Generic deceptive response.",negative,disgust
deceptive,family,work,"Brother: Where were you last night?
Me: Just studying at the library. (I was at a party)",neutral,neutral
truthful,friend,trip,"Friend: Did you watch the game?
Me: Yeah, it was okay.",neutral,neutral
deceptive,family,plans,"Speaker 1: Generic affection statement about work.
Speaker 2: Generic deceptive response.",positive,affection
deceptive,friend,trip,"Speaker 1: Generic disgust statement about gossip.
Speaker 2: Generic deceptive response.",negative,disgust
deceptive,family,finances,"Mom: Did you finish your homework?
Me: Yep, all done. (Haven't started)",neutral,neutral
deceptive,friend,dinner,"Friend: You broke my phone!
Me: It was already cracked when I got it! (I dropped it)",negative,aggression
truthful,family,finances,"Speaker 1: Generic sarcasm statement about work.
Speaker 2: Generic truthful response.",positive,sarcasm
deceptive,friend,gossip,"Speaker 1: Generic sarcasm statement about trip.
Speaker 2: Generic deceptive response.",negative,sarcasm
deceptive,friend,work,"Speaker 1: Generic sarcasm statement about plans.
Speaker 2: Generic deceptive response.",negative,sarcasm
truthful,friend,plans,"Friend: Guess what? I got engaged!
Me: OH MY GOSH! Congratulations!!",positive,joy
deceptive,family,dinner,"Mom: Did you finish your homework?
Me: Yep, all done. (Haven't started)",neutral,neutral
truthful,friend,dinner,"Speaker 1: Generic sadness statement about work.
Speaker 2: Generic truthful response.",negative,sadness
deceptive,friend,work,"Speaker 1: Generic fear statement about plans.
Speaker 2: Generic deceptive response.",negative,fear
deceptive,family,gossip,"Speaker 1: Generic affection statement about work.
Speaker 2: Generic deceptive response.",positive,affection
truthful,family,plans,"Dad: You never listen to a word I say, it's infuriating!
Me: Because you're always yelling!",negative,aggression
truthful,family,plans,"Brother: Did you feed the dog?
Me: Yes, about an hour ago.",neutral,neutral
deceptive,family,plans,"Mom: Did you finish your homework?
Me: Yep, all done. (Haven't started)",neutral,neutral
deceptive,family,trip,"Speaker 1: Generic sadness statement about work.
Speaker 2: Generic deceptive response.",negative,sadness
deceptive,friend,dinner,"Friend: Are you free tomorrow?
Me: No, I have a doctor's appointment. (I just want to stay home)",neutral,neutral
truthful,family,trip,"Speaker 1: Generic fear statement about dinner.
Speaker 2: Generic truthful response.",negative,fear
truthful,friend,trip,"Speaker 1: Generic sarcasm statement about finances.
Speaker 2: Generic truthful response.",positive,sarcasm
deceptive,family,work,"Dad: Did you break this vase?!
Me: No! I didn't even touch it! (I knocked it over earlier)",negative,aggression
truthful,friend,work,"Friend: Want to grab coffee?
Me: Sure, meet you at 10.",neutral,neutral
truthful,friend,trip,"Speaker 1: Generic sarcasm statement about work.
Speaker 2: Generic truthful response.",negative,sarcasm
deceptive,family,dinner,"Speaker 1: Generic affection statement about dinner.
Speaker 2: Generic deceptive response.",positive,affection
truthful,family,plans,"Brother: Did you feed the dog?
Me: Yes, about an hour ago.",neutral,neutral
deceptive,friend,trip,"Speaker 1: Generic affection statement about work.
Speaker 2: Generic deceptive response.",positive,affection
deceptive,friend,gossip,"Speaker 1: Generic sarcasm statement about gossip.
Speaker 2: Generic deceptive response.",negative,sarcasm
deceptive,friend,work,"Speaker 1: Generic affection statement about dinner.
Speaker 2: Generic deceptive response.",positive,affection
truthful,friend,trip,"Friend: Want to grab coffee?
Me: Sure, meet you at 10.",neutral,neutral
deceptive,friend,plans,"Speaker 1: Generic fear statement about finances.
Speaker 2: Generic deceptive response.",negative,fear
deceptive,friend,gossip,"Friend: Are you free tomorrow?
Me: No, I have a doctor's appointment. (I just want to stay home)",neutral,neutral
truthful,family,dinner,"Sister: I miss you so much, we need to catch up soon.
Me: I miss you too! Let's do lunch this weekend.",positive,affection
truthful,friend,work,"Speaker 1: Generic sarcasm statement about plans.
Speaker 2: Generic truthful response.",negative,sarcasm
deceptive,family,finances,"Brother: Where were you last night?
Me: Just studying at the library. (I was at a party)",neutral,neutral
truthful,friend,trip,"Speaker 1: Generic fear statement about dinner.
Speaker 2: Generic truthful response.",negative,fear
deceptive,friend,finances,"Speaker 1: Generic affection statement about work.
Speaker 2: Generic deceptive response.",positive,affection
deceptive,family,finances,"Mom: Did you finish your homework?
Me: Yep, all done. (Haven't started)",neutral,neutral
truthful,family,dinner,"Mom: What time are you coming home?
Me: Around 6 PM.",neutral,neutral
truthful,friend,finances,"Speaker 1: Generic affection statement about plans.
Speaker 2: Generic truthful response.",positive,affection
deceptive,friend,dinner,"Speaker 1: Generic fear statement about work.
Speaker 2: Generic deceptive response.",negative,fear
deceptive,friend,work,"Friend: I'm sorry you didn't get the job.
Me: It's okay, I didn't want it anyway. (I'm devastated)",negative,sadness
deceptive,friend,dinner,"Friend: Are you free tomorrow?
Me: No, I have a doctor's appointment. (I just want to stay home)",neutral,neutral
truthful,friend,work,"Speaker 1: Generic sadness statement about finances.
Speaker 2: Generic truthful response.",negative,sadness
deceptive,friend,gossip,"Friend: How much did this cost?
Me: Only twenty bucks. (It was hundred)",neutral,neutral
deceptive,friend,finances,"Friend: Are you excited for the party?
Me: So excited! Can't wait! (I really don't want to go)",positive,joy
deceptive,friend,work,"Speaker 1: Generic sarcasm statement about dinner.
Speaker 2: Generic deceptive response.",negative,sarcasm
truthful,family,trip,"Speaker 1: Generic fear statement about work.
Speaker 2: Generic truthful response.",negative,fear
truthful,family,trip,"Speaker 1: Generic disgust statement about gossip.
Speaker 2: Generic truthful response.",negative,disgust
deceptive,family,plans,"Speaker 1: Generic affection statement about work.
Speaker 2: Generic deceptive response.",positive,affection
truthful,friend,dinner,"Friend: Want to grab coffee?
Me: Sure, meet you at 10.",neutral,neutral
deceptive,family,plans,"Speaker 1: Generic sarcasm statement about work.
Speaker 2: Generic deceptive response.",negative,sarcasm
deceptive,family,work,"Brother: Oh sure, you're the absolute best sibling ever.
Me: Yeah, and you're the most responsible person I know.",positive,sarcasm
deceptive,friend,trip,"Friend: Oh brilliant idea, let's go camping in the rain.
Me: Yeah, because sleeping in a puddle sounds fantastic.",positive,sarcasm
deceptive,family,dinner,"Brother: Where were you last night?
Me: Just studying at the library. (I was at a party)",neutral,neutral
truthful,friend,gossip,"Friend: Guess what? I got engaged!
Me: OH MY GOSH! Congratulations!!",positive,joy
deceptive,friend,dinner,"Friend: You broke my phone!
Me: It was already cracked when I got it! (I dropped it)",negative,aggression
deceptive,family,plans,"Speaker 1: Generic sadness statement about plans.
Speaker 2: Generic deceptive response.",negative,sadness
truthful,friend,finances,"Friend: I can't believe we actually won the lottery!
Me: This is insane! Is it really happening?!",positive,surprise
truthful,family,plans,"Brother: Did you feed the dog?
Me: Yes, about an hour ago.",neutral,neutral
truthful,friend,work,"Friend: The bathroom at that club was so gross.
Me: Tell me about it, I almost threw up.",negative,disgust
deceptive,family,plans,"Brother: Where were you last night?
Me: Just studying at the library. (I was at a party)",neutral,neutral
deceptive,friend,dinner,"Friend: Oh brilliant idea, let's go camping in the rain.
Me: Yeah, because sleeping in a puddle sounds fantastic.",positive,sarcasm
truthful,friend,finances,"Friend: The bathroom at that club was so gross.
Me: Tell me about it, I almost threw up.",negative,disgust
deceptive,friend,plans,"Speaker 1: Generic fear statement about trip.
Speaker 2: Generic deceptive response.",negative,fear
deceptive,friend,dinner,"Friend: Your ex just walked in.
Me: Oh perfect, just what I needed today.",positive,sarcasm
deceptive,friend,gossip,"Speaker 1: Generic surprise statement about dinner.
Speaker 2: Generic deceptive response.",positive,surprise
truthful,friend,gossip,"Speaker 1: Generic sadness statement about work.
Speaker 2: Generic truthful response.",negative,sadness
truthful,family,work,"Brother: Why did you take my car without asking?!
Me: I needed to go to the store and yours was blocking mine!",negative,aggression
truthful,friend,finances,"Friend: Want to grab coffee?
Me: Sure, meet you at 10.",neutral,neutral
truthful,family,dinner,"Mom: What time are you coming home?
Me: Around 6 PM.",neutral,neutral
truthful,family,trip,"Dad: I'm so proud of you for getting that promotion.
Me: Thanks dad, I worked really hard for it.",positive,joy
deceptive,friend,work,"Friend: How much did this cost?
Me: Only twenty bucks. (It was hundred)",neutral,neutral
deceptive,family,finances,"Brother: Where were you last night?
Me: Just studying at the library. (I was at a party)",neutral,neutral
truthful,family,finances,"Mom: Just wanted to say I love you and I'm thinking about you.
Me: Love you too mom!",positive,affection
truthful,friend,dinner,"Friend: I can't believe we actually won the lottery!
Me: This is insane! Is it really happening?!",positive,surprise
deceptive,friend,dinner,"Friend: How much did this cost?
Me: Only twenty bucks. (It was hundred)",neutral,neutral
truthful,friend,work,"Friend: Did you see what he was eating?
Me: Ugh, yes, it looked absolutely revolting.",negative,disgust
deceptive,family,plans,"Speaker 1: Generic disgust statement about dinner.
Speaker 2: Generic deceptive response.",negative,disgust
truthful,friend,gossip,"Friend: Why are you always late?!
Me: Traffic was terrible, get off my back!",negative,aggression
deceptive,family,gossip,"Speaker 1: Generic sadness statement about dinner.
Speaker 2: Generic deceptive response.",negative,sadness
deceptive,friend,trip,"Friend: You broke my phone!
Me: It was already cracked when I got it! (I dropped it)",negative,aggression
truthful,family,work,"Mom: What time are you coming home?
Me: Around 6 PM.",neutral,neutral
truthful,family,gossip,"Mom: What time are you coming home?
Me: Around 6 PM.",neutral,neutral
deceptive,friend,plans,"Speaker 1: Generic sarcasm statement about gossip.
Speaker 2: Generic deceptive response.",negative,sarcasm
deceptive,family,gossip,"Mom: Did you finish your homework?
Me: Yep, all done. (Haven't started)",neutral,neutral
deceptive,friend,trip,"Friend: Are you free tomorrow?
Me: No, I have a doctor's appointment. (I just want to stay home)",neutral,neutral
truthful,friend,finances,"Speaker 1: Generic sarcasm statement about finances.
Speaker 2: Generic truthful response.",positive,sarcasm
truthful,family,finances,"Mom: What time are you coming home?
Me: Around 6 PM.",neutral,neutral
deceptive,family,dinner,"Brother: Where were you last night?
Me: Just studying at the library. (I was at a party)",neutral,neutral
truthful,friend,work,"Speaker 1: Generic sadness statement about gossip.
Speaker 2: Generic truthful response.",negative,sadness
deceptive,family,plans,"Brother: Where were you last night?
Me: Just studying at the library. (I was at a party)",neutral,neutral
truthful,friend,work,"Friend: Did you watch the game?
Me: Yeah, it was okay.",neutral,neutral
